#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz    dx2    tot
# NKPTS & NBANDS: 300  64
# Band-Index    1
   0.00000    -12.503861  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.01407    -12.503172  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.02815    -12.501088  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.04222    -12.497609  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.05630    -12.492737  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.07037    -12.486471  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   0.08444    -12.478814  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.09852    -12.469771  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.11259    -12.459343  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.12667    -12.447535  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.14074    -12.434351  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.15481    -12.419796  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.16889    -12.403884  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.18296    -12.386624  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.19704    -12.368010  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.21111    -12.348053  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.22518    -12.326759  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.23926    -12.304139  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.25333    -12.280203  0.052  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.26741    -12.254963  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.28148    -12.228430  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.29556    -12.200622  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.30963    -12.171553  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.32370    -12.141241  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.33778    -12.109723  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.35185    -12.077003  0.048  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.36593    -12.043106  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.38000    -12.008060  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   0.39407    -11.971894  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.40815    -11.934643  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.42222    -11.896347  0.044  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.43630    -11.857052  0.040  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.45037    -11.816811  0.040  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.46444    -11.775684  0.040  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.47852    -11.733745  0.040  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.49259    -11.691082  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.50667    -11.647804  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.52074    -11.604023  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.53481    -11.559892  0.032  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.54889    -11.515602  0.032  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.56296    -11.471400  0.028  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.57704    -11.427604  0.028  0.008  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.040
   0.59111    -11.384635  0.024  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.60518    -11.343063  0.020  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   0.61926    -11.303672  0.016  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.63333    -11.267537  0.012  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   0.64741    -11.236117  0.008  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   0.66148    -11.211293  0.004  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   0.67555    -11.195166  0.000  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   0.68963    -11.189545  0.000  0.008  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.020
   0.68963    -11.189545  0.000  0.000  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.020
   0.69958    -11.191585  0.000  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.022
   0.70953    -11.197564  0.002  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.022
   0.71948    -11.207096  0.004  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.024
   0.72944    -11.219642  0.006  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.026
   0.73939    -11.234627  0.008  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.028
   0.74934    -11.251502  0.010  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.030
   0.75929    -11.269796  0.012  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.030
   0.76924    -11.289107  0.014  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   0.77920    -11.309116  0.016  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.034
   0.78915    -11.329569  0.018  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.034
   0.79910    -11.350265  0.020  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.034
   0.80905    -11.371046  0.022  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   0.81900    -11.391783  0.024  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.038
   0.82896    -11.412376  0.024  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.038
   0.83891    -11.432744  0.026  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.038
   0.84886    -11.452819  0.026  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.85881    -11.472547  0.028  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   0.86876    -11.491883  0.028  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.042
   0.87871    -11.510788  0.030  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.042
   0.88867    -11.529232  0.030  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.042
   0.89862    -11.547186  0.032  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.042
   0.90857    -11.564628  0.032  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.91852    -11.581539  0.032  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.92847    -11.597900  0.032  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.93843    -11.613697  0.034  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.94838    -11.628916  0.034  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   0.95833    -11.643548  0.034  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   0.96828    -11.657580  0.034  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   0.97823    -11.671005  0.036  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   0.98818    -11.683814  0.036  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   0.99814    -11.696001  0.036  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.00809    -11.707558  0.036  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.01804    -11.718479  0.036  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.02799    -11.728761  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.03794    -11.738398  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   1.04790    -11.747386  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.05785    -11.755722  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.06780    -11.763402  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   1.07775    -11.770423  0.038  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.048
